Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
9854,5619,3,"[[9854, 2, 36, 609, 5619], 0.0003, 170, 5, 'Success']","[[9854, 2, 36, 609, 5619], 0.0003, 170, 5, 'Success']","[[9854, 2, 3781, 609, 5619], 0.00031, 138, 5, 'Success']","[[9854, 38, 50, 5619], 2.25279, 224, 4, 'Success']","[[9854, 2, 3781, 609, 5619], 0.00031, 138, 5, 'Success']","[[9854, 2, 3781, 609, 5619], 0.00031, 138, 5, 'Success']","[[9854, 2, 3781, 609, 5619], 0.00031, 138, 5, 'Success']"
11463,2574,33,"[[11463, 10917, 3642, 1139, 2574], 0.10545, 160, 5, 'Success']","[[11463, 10917, 3642, 1139, 2574], 0.10545, 160, 5, 'Success']","[[11463, 10917, 3642, 1139, 2574], 0.10545, 160, 5, 'Success']","[[11463, 18, 137, 2651, 2574], 2.11348, 274, 5, 'Success']","[[11463, 10917, 3642, 1139, 2574], 0.10545, 160, 5, 'Success']","[[11463, 10917, 3642, 1139, 2574], 0.10545, 160, 5, 'Success']","[[11463, 855, 6876, 167, 3642, 36, 1139, 2574], 0.09923000000000001, 302, 8, 'Success']"
9854,5874,721,"[[9854, 2, 36, 609, 5874], 0.0721, 170, 5, 'Success']","[[9854, 2, 3781, 609, 5874], 0.07425999999999999, 138, 5, 'Success']","[[9854, 2, 3781, 609, 5874], 0.07425999999999999, 138, 5, 'Success']","[[9854, 2, 194, 609, 5874], 0.14421, 138, 5, 'Success']","[[9854, 2, 3781, 609, 5874], 0.07425999999999999, 138, 5, 'Success']","[[9854, 2, 3781, 609, 5874], 0.07425999999999999, 138, 5, 'Success']","[[9854, 2, 3781, 609, 5874], 0.07425999999999999, 138, 5, 'Success']"
6177,7823,7116,"[[6177, 167, 2223, 6274, 7823], 0.00712, 254, 5, 'Success']","[[6177, 600, 6184, 6274, 7823], 0.5569299999999999, 264, 5, 'Success']","[[6177, 167, 2223, 6274, 7823], 0.00712, 254, 5, 'Success']","[[6177, 600, 6184, 6274, 7823], 0.5569299999999999, 264, 5, 'Success']","[[6177, 167, 2223, 6274, 7823], 0.00712, 254, 5, 'Success']","[[6177, 167, 2223, 6274, 7823], 0.00712, 254, 5, 'Success']","[[6177, 1139, 6324, 3297, 9510, 167, 2223, 6274, 7823], 0.028470000000000002, 414, 9, 'Failure']"
11463,8478,16086,"[[11463, 855, 8443, 8478], 4.23349, 120, 4, 'Success']","[[11463, 855, 8443, 8478], 4.23349, 120, 4, 'Success']","[[11463, 855, 8443, 8478], 4.23349, 120, 4, 'Success']","[[11463, 855, 8443, 8478], 4.23349, 120, 4, 'Success']","[[11463, 855, 8443, 8478], 4.23349, 120, 4, 'Failure']","[[11463, 855, 8443, 8478], 4.23349, 120, 4, 'Failure']","[[11463, 18, 3974, 6562, 8478], 2.03218, 160, 5, 'Success']"
2952,4593,249202,"[[2952, 32, 12325, 4593], 125.3518, 218, 4, 'Failure']","[[2952, 32, 12325, 4593], 125.3518, 218, 4, 'Failure']","[[2952, 32, 12325, 4593], 125.3518, 218, 4, 'Failure']","[[2952, 609, 2359, 796, 12325, 4593], 3.7444300000000004, 194, 6, 'Failure']","[[2952, 32, 12325, 4593], 125.3518, 218, 4, 'Failure']","[[2952, 32, 12325, 4593], 125.3518, 218, 4, 'Failure']","[[2952, 32, 6722, 12325, 4593], 125.3518, 258, 5, 'Failure']"
8560,12697,2,"[[8560, 21, 12697], 1.0, 80, 3, 'Success']","[[8560, 21, 12697], 1.0, 80, 3, 'Success']","[[8560, 21, 12697], 1.0, 80, 3, 'Success']","[[8560, 21, 12697], 1.0, 80, 3, 'Success']","[[8560, 21, 12697], 1.0, 80, 3, 'Success']","[[8560, 21, 12697], 1.0, 80, 3, 'Success']","[[8560, 9420, 7927, 10171, 12325, 167, 9515, 21, 12697], 1.00003, 304, 9, 'Success']"
1001,12407,14,"[[1001, 609, 2223, 10294, 12407], 1e-05, 264, 5, 'Success']","[[1001, 609, 2223, 10294, 12407], 1e-05, 264, 5, 'Success']","[[1001, 609, 2223, 10294, 12407], 1e-05, 264, 5, 'Success']","[[1001, 609, 2223, 10294, 12407], 1e-05, 264, 5, 'Success']","[[1001, 609, 2223, 10294, 12407], 1e-05, 264, 5, 'Success']","[[1001, 609, 2223, 10294, 12407], 1e-05, 264, 5, 'Success']","[[1001, 609, 2223, 10294, 12407], 1e-05, 264, 5, 'Success']"
1001,2777,868,"[[1001, 609, 19, 21, 2777], 1.0017399999999999, 138, 5, 'Success']","[[1001, 609, 19, 21, 2777], 1.0017399999999999, 138, 5, 'Success']","[[1001, 609, 19, 21, 2777], 1.0017399999999999, 138, 5, 'Success']","[[1001, 609, 4764, 21, 2777], 1.09212, 160, 5, 'Success']","[[1001, 609, 19, 21, 2777], 1.0017399999999999, 138, 5, 'Success']","[[1001, 609, 19, 21, 2777], 1.0017399999999999, 138, 5, 'Success']","[[1001, 609, 19, 21, 2777], 1.0017399999999999, 138, 5, 'Success']"
6635,1063,6209,"[[6635, 609, 254, 192, 1063], 1.32912, 154, 5, 'Success']","[[6635, 609, 254, 192, 1063], 1.32912, 154, 5, 'Success']","[[6635, 609, 254, 192, 1063], 1.32912, 154, 5, 'Success']","[[6635, 609, 12292, 192, 1063], 2.81652, 148, 5, 'Success']","[[6635, 609, 254, 192, 1063], 1.32912, 154, 5, 'Success']","[[6635, 609, 254, 192, 1063], 1.32912, 154, 5, 'Success']","[[6635, 609, 19, 215, 137, 12325, 4482, 149, 192, 1063], 1.08793, 440, 10, 'Success']"
6153,846,11040,"[[6153, 29, 6020, 801, 846], 33.69581, 160, 5, 'Failure']","[[6153, 18, 8411, 801, 846], 34.24179999999999, 154, 5, 'Failure']","[[6153, 29, 6020, 801, 846], 33.69581, 160, 5, 'Failure']","[[6153, 52, 42, 801, 846], 36.56412, 162, 5, 'Failure']","[[6153, 18, 8411, 801, 846], 34.24179999999999, 154, 5, 'Failure']","[[6153, 18, 8411, 801, 846], 34.24179999999999, 154, 5, 'Failure']","[[6153, 18, 570, 1236, 600, 2680, 801, 846], 34.164289999999994, 260, 8, 'Failure']"
453,151,252150,"[[453, 2, 154, 151], 101.86766, 92, 4, 'Failure']","[[453, 36, 11, 8411, 59, 151], 61.248329999999996, 226, 6, 'Failure']","[[453, 36, 600, 61, 173, 59, 151], 16.87475, 228, 7, 'Failure']","[[453, 36, 600, 61, 173, 59, 151], 16.87475, 228, 7, 'Failure']","[[453, 36, 11, 8411, 59, 151], 61.248329999999996, 226, 6, 'Failure']","[[453, 36, 11, 8411, 59, 151], 61.248329999999996, 226, 6, 'Failure']","[[453, 36, 93, 6046, 60, 173, 59, 151], 20.596429999999998, 268, 8, 'Failure']"
6177,1040,6,"[[6177, 127, 182, 1040], 1.0000600000000002, 224, 4, 'Success']","[[6177, 127, 182, 1040], 1.0000600000000002, 224, 4, 'Success']","[[6177, 127, 182, 1040], 1.0000600000000002, 224, 4, 'Success']","[[6177, 6425, 182, 1040], 2.0007099999999998, 114, 4, 'Success']","[[6177, 127, 182, 1040], 1.0000600000000002, 224, 4, 'Success']","[[6177, 127, 182, 1040], 1.0000600000000002, 224, 4, 'Success']","[[6177, 1139, 6324, 5199, 12325, 182, 1040], 1.00003, 234, 7, 'Success']"
8535,10409,94,"[[8535, 167, 2223, 10294, 10409], 9e-05, 254, 5, 'Success']","[[8535, 167, 2223, 10294, 10409], 9e-05, 254, 5, 'Success']","[[8535, 167, 2223, 10294, 10409], 9e-05, 254, 5, 'Success']","[[8535, 167, 3520, 10294, 10409], 0.00413, 254, 5, 'Success']","[[8535, 167, 2223, 10294, 10409], 9e-05, 254, 5, 'Success']","[[8535, 167, 2223, 10294, 10409], 9e-05, 254, 5, 'Success']","[[8535, 167, 2223, 10294, 10409], 9e-05, 254, 5, 'Success']"
674,10524,818,"[[674, 679, 9314, 855, 10524], 0.38861, 150, 5, 'Success']","[[674, 679, 9314, 855, 10524], 0.38861, 150, 5, 'Success']","[[674, 679, 9314, 855, 10524], 0.38861, 150, 5, 'Success']","[[674, 285, 12325, 855, 10524], 0.57186, 154, 5, 'Success']","[[674, 679, 9314, 855, 10524], 0.38861, 150, 5, 'Success']","[[674, 679, 9314, 855, 10524], 0.38861, 150, 5, 'Success']","[[674, 679, 349, 167, 6722, 12325, 855, 10524], 0.17604999999999998, 274, 8, 'Success']"
9301,4723,1894,"[[9301, 8617, 855, 4723], 1.39774, 114, 4, 'Success']","[[9301, 8617, 855, 4723], 1.39774, 114, 4, 'Success']","[[9301, 8617, 855, 4723], 1.39774, 114, 4, 'Success']","[[9301, 8617, 855, 4723], 1.39774, 114, 4, 'Success']","[[9301, 8617, 855, 4723], 1.39774, 114, 4, 'Success']","[[9301, 8617, 855, 4723], 1.39774, 114, 4, 'Success']","[[9301, 609, 19, 215, 137, 12325, 855, 4723], 0.38258000000000003, 262, 8, 'Success']"
2952,5813,23570,"[[2952, 32, 5813], 12.76143, 184, 3, 'Success']","[[2952, 32, 5813], 12.76143, 184, 3, 'Success']","[[2952, 32, 5813], 12.76143, 184, 3, 'Success']","[[2952, 32, 5813], 12.76143, 184, 3, 'Success']","[[2952, 32, 5813], 12.76143, 184, 3, 'Success']","[[2952, 32, 5813], 12.76143, 184, 3, 'Success']","[[2952, 32, 5813], 12.76143, 184, 3, 'Success']"
10922,6213,151490,"[[10922, 10, 6213], 258.533, 80, 3, 'Success']","[[10922, 10, 6213], 258.533, 80, 3, 'Success']","[[10922, 10, 6213], 258.533, 80, 3, 'Success']","[[10922, 10, 6213], 258.533, 80, 3, 'Success']","[[10922, 10, 6213], 258.533, 80, 3, 'Failure']","[[10922, 10, 6213], 258.533, 80, 3, 'Failure']","[[10922, 10, 6213], 258.533, 80, 3, 'Failure']"
5438,10123,10,"[[5438, 855, 2706, 609, 10123], 0.003, 160, 5, 'Success']","[[5438, 855, 4438, 609, 10123], 0.003, 160, 5, 'Success']","[[5438, 855, 11578, 609, 10123], 0.00301, 150, 5, 'Success']","[[5438, 855, 4764, 609, 10123], 0.0030600000000000002, 160, 5, 'Success']","[[5438, 855, 4438, 609, 10123], 0.003, 160, 5, 'Success']","[[5438, 855, 4438, 609, 10123], 0.003, 160, 5, 'Success']","[[5438, 855, 6876, 6781, 609, 10123], 0.00106, 200, 6, 'Success']"
1041,603,33,"[[1041, 48, 3742, 918, 603], 0.00604, 154, 5, 'Success']","[[1041, 48, 3742, 918, 603], 0.00604, 154, 5, 'Success']","[[1041, 48, 2169, 603], 0.50662, 104, 4, 'Success']","[[1041, 32, 918, 603], 1.01855, 224, 4, 'Success']","[[1041, 48, 2169, 603], 0.50662, 104, 4, 'Success']","[[1041, 48, 2169, 603], 0.50662, 104, 4, 'Success']","[[1041, 2, 3781, 609, 19, 215, 137, 12325, 5965, 6953, 2861, 1358, 3414, 3811, 918, 603], 0.00227, 560, 16, 'Success']"
9301,10629,269,"[[9301, 609, 10629], 0.0269, 80, 3, 'Success']","[[9301, 609, 10629], 0.0269, 80, 3, 'Success']","[[9301, 609, 10629], 0.0269, 80, 3, 'Success']","[[9301, 609, 10629], 0.0269, 80, 3, 'Success']","[[9301, 609, 10629], 0.0269, 80, 3, 'Success']","[[9301, 609, 10629], 0.0269, 80, 3, 'Success']","[[9301, 609, 10629], 0.0269, 80, 3, 'Success']"
10774,4330,4163,"[[10774, 855, 6785, 3083, 4330], 0.8326, 264, 5, 'Success']","[[10774, 855, 5965, 3083, 4330], 0.8326, 264, 5, 'Success']","[[10774, 855, 5965, 3083, 4330], 0.8326, 264, 5, 'Success']","[[10774, 855, 3520, 3083, 4330], 1.00748, 264, 5, 'Success']","[[10774, 855, 5965, 3083, 4330], 0.8326, 264, 5, 'Success']","[[10774, 855, 5965, 3083, 4330], 0.8326, 264, 5, 'Success']","[[10774, 855, 6876, 167, 5965, 3083, 4330], 0.029140000000000003, 334, 7, 'Success']"
568,6225,51210,"[[568, 1273, 18, 642, 6225], 63.77299, 264, 5, 'Failure']","[[568, 11798, 84, 218, 642, 6225], 65.04306, 284, 6, 'Failure']","[[568, 11798, 84, 218, 642, 6225], 65.04306, 284, 6, 'Failure']","[[568, 491, 71, 18, 642, 6225], 68.38252000000001, 304, 6, 'Failure']","[[568, 11798, 84, 218, 642, 6225], 65.04306, 284, 6, 'Failure']","[[568, 11798, 84, 218, 642, 6225], 65.04306, 284, 6, 'Failure']","[[568, 11798, 855, 6876, 167, 6722, 18, 642, 6225], 63.67144000000001, 424, 9, 'Failure']"
1368,4009,181040,"[[1368, 62, 175, 4009], 12.2072, 92, 4, 'Failure']","[[1368, 21, 392, 175, 4009], 15.298770000000001, 154, 5, 'Failure']","[[1368, 21, 2602, 57, 175, 4009], 13.38925, 150, 6, 'Failure']","[[1368, 21, 26, 12325, 175, 4009], 15.19877, 182, 6, 'Failure']","[[1368, 21, 392, 175, 4009], 15.298770000000001, 154, 5, 'Failure']","[[1368, 21, 392, 175, 4009], 15.298770000000001, 154, 5, 'Failure']","[[1368, 21, 1577, 167, 57, 175, 4009], 14.47456, 202, 7, 'Failure']"
1368,8270,7,"[[1368, 1347, 26, 12325, 855, 8270], 0.00148, 286, 6, 'Success']","[[1368, 1347, 26, 12325, 855, 8270], 0.00148, 286, 6, 'Success']","[[1368, 21, 8270], 1.00001, 74, 3, 'Success']","[[1368, 21, 8270], 1.00001, 74, 3, 'Success']","[[1368, 21, 8270], 1.00001, 74, 3, 'Success']","[[1368, 21, 8270], 1.00001, 74, 3, 'Success']","[[1368, 1347, 26, 12325, 855, 8270], 0.00148, 286, 6, 'Success']"
4374,7489,77,"[[4374, 1139, 6105, 6274, 7489], 0.01948, 264, 5, 'Success']","[[4374, 1139, 6105, 6274, 7489], 0.01948, 264, 5, 'Success']","[[4374, 1139, 6105, 6274, 7489], 0.01948, 264, 5, 'Success']","[[4374, 600, 4764, 6274, 7489], 0.23138, 264, 5, 'Success']","[[4374, 1139, 6105, 6274, 7489], 0.01948, 264, 5, 'Success']","[[4374, 1139, 6105, 6274, 7489], 0.01948, 264, 5, 'Success']","[[4374, 1139, 6324, 5199, 12325, 36, 6274, 7489], 0.00023, 410, 8, 'Success']"
1368,4519,563,"[[1368, 21, 3083, 4519], 1.00056, 218, 4, 'Success']","[[1368, 21, 3083, 4519], 1.00056, 218, 4, 'Success']","[[1368, 21, 3083, 4519], 1.00056, 218, 4, 'Success']","[[1368, 21, 3083, 4519], 1.00056, 218, 4, 'Success']","[[1368, 21, 3083, 4519], 1.00056, 218, 4, 'Success']","[[1368, 21, 3083, 4519], 1.00056, 218, 4, 'Success']","[[1368, 1347, 26, 12325, 5965, 3083, 4519], 0.006189999999999999, 430, 7, 'Success']"
8668,962,2922,"[[8668, 739, 600, 962], 9.768930000000001, 120, 4, 'Success']","[[8668, 739, 600, 962], 9.768930000000001, 120, 4, 'Success']","[[8668, 739, 600, 962], 9.768930000000001, 120, 4, 'Success']","[[8668, 739, 600, 962], 9.768930000000001, 120, 4, 'Success']","[[8668, 739, 600, 962], 9.768930000000001, 120, 4, 'Success']","[[8668, 739, 600, 962], 9.768930000000001, 120, 4, 'Success']","[[8668, 9726, 314, 11837, 12325, 600, 962], 9.27093, 316, 7, 'Success']"
674,7655,44145,"[[674, 671, 2, 7218, 7655], 1.04415, 242, 5, 'Failure']","[[674, 671, 2, 7218, 7655], 1.04415, 242, 5, 'Failure']","[[674, 671, 2, 7218, 7655], 1.04415, 242, 5, 'Failure']","[[674, 285, 321, 6184, 7218, 7655], 5.29661, 304, 6, 'Failure']","[[674, 671, 2, 7218, 7655], 1.04415, 242, 5, 'Failure']","[[674, 671, 2, 7218, 7655], 1.04415, 242, 5, 'Failure']","[[674, 679, 349, 167, 2223, 7218, 7655], 0.61903, 334, 7, 'Failure']"
8535,12313,128056,"[[8535, 8493, 855, 12313], 35.015280000000004, 120, 4, 'Failure']","[[8535, 8493, 855, 12313], 35.015280000000004, 120, 4, 'Failure']","[[8535, 8493, 167, 321, 12313], 10.65898, 150, 5, 'Failure']","[[8535, 8493, 445, 321, 12313], 11.659030000000001, 160, 5, 'Failure']","[[8535, 8493, 855, 12313], 35.015280000000004, 120, 4, 'Failure']","[[8535, 8493, 855, 12313], 35.015280000000004, 120, 4, 'Failure']","[[8535, 8493, 6722, 167, 321, 12313], 10.65898, 190, 6, 'Failure']"
3178,9580,10,"[[3178, 609, 858, 4178, 9580], 2e-05, 160, 5, 'Success']","[[3178, 609, 858, 4178, 9580], 2e-05, 160, 5, 'Success']","[[3178, 609, 858, 4178, 9580], 2e-05, 160, 5, 'Success']","[[3178, 609, 858, 4178, 9580], 2e-05, 160, 5, 'Success']","[[3178, 609, 858, 4178, 9580], 2e-05, 160, 5, 'Success']","[[3178, 609, 858, 4178, 9580], 2e-05, 160, 5, 'Success']","[[3178, 609, 858, 4178, 9580], 2e-05, 160, 5, 'Success']"
1515,7502,74,"[[1515, 2, 7218, 7502], 0.0, 202, 4, 'Failure']","[[1515, 2, 7218, 7502], 0.0, 202, 4, 'Failure']","[[1515, 2, 7218, 7502], 0.0, 202, 4, 'Success']","[[1515, 2, 7218, 7502], 0.0, 202, 4, 'Success']","[[1515, 2, 7218, 7502], 0.0, 202, 4, 'Success']","[[1515, 2, 7218, 7502], 0.0, 202, 4, 'Success']","[[1515, 2, 7218, 7502], 0.0, 202, 4, 'Success']"
10922,7147,390,"[[10922, 855, 2223, 6274, 7147], 0.078, 264, 5, 'Success']","[[10922, 855, 2223, 6274, 7147], 0.078, 264, 5, 'Success']","[[10922, 855, 2223, 6274, 7147], 0.078, 264, 5, 'Success']","[[10922, 855, 4764, 6274, 7147], 0.07995, 264, 5, 'Success']","[[10922, 855, 2223, 6274, 7147], 0.078, 264, 5, 'Success']","[[10922, 855, 2223, 6274, 7147], 0.078, 264, 5, 'Success']","[[10922, 855, 6876, 167, 2223, 6274, 7147], 0.0027300000000000002, 334, 7, 'Success']"
1228,12801,4924,"[[1228, 21, 1424, 12801], 2.00985, 120, 4, 'Success']","[[1228, 21, 1424, 12801], 2.00985, 120, 4, 'Success']","[[1228, 21, 1424, 12801], 2.00985, 120, 4, 'Success']","[[1228, 21, 1424, 12801], 2.00985, 120, 4, 'Success']","[[1228, 21, 1424, 12801], 2.00985, 120, 4, 'Failure']","[[1228, 21, 1424, 12801], 2.00985, 120, 4, 'Failure']","[[1228, 21, 1424, 12801], 2.00985, 120, 4, 'Failure']"
11463,810,74488,"[[11463, 18, 8411, 801, 810], 225.28582, 154, 5, 'Failure']","[[11463, 18, 6184, 801, 810], 225.41227, 160, 5, 'Failure']","[[11463, 18, 6184, 801, 810], 225.41227, 160, 5, 'Failure']","[[11463, 18, 6184, 801, 810], 225.41227, 160, 5, 'Failure']","[[11463, 18, 6184, 801, 810], 225.41227, 160, 5, 'Failure']","[[11463, 18, 6184, 801, 810], 225.41227, 160, 5, 'Failure']","[[11463, 18, 6184, 801, 810], 225.41227, 160, 5, 'Failure']"
9854,11349,139832,"[[9854, 18, 9689, 11349], 2.27966, 120, 4, 'Failure']","[[9854, 21, 251, 623, 10022, 11349], 3.67798, 304, 6, 'Failure']","[[9854, 21, 9366, 623, 10022, 11349], 4.817819999999999, 200, 6, 'Failure']","[[9854, 21, 251, 623, 10022, 11349], 3.67798, 304, 6, 'Failure']","[[9854, 21, 251, 623, 10022, 11349], 3.67798, 304, 6, 'Failure']","[[9854, 21, 251, 623, 10022, 11349], 3.67798, 304, 6, 'Failure']","[[9854, 21, 1577, 167, 11837, 623, 10022, 11349], 6.21618, 258, 8, 'Failure']"
677,1441,4,"[[677, 799, 21, 1441], 1.0, 114, 4, 'Success']","[[677, 799, 21, 1441], 1.0, 114, 4, 'Success']","[[677, 799, 21, 1441], 1.0, 114, 4, 'Success']","[[677, 4710, 21, 1441], 1.0067, 114, 4, 'Success']","[[677, 799, 21, 1441], 1.0, 114, 4, 'Success']","[[677, 799, 21, 1441], 1.0, 114, 4, 'Success']","[[677, 799, 21, 1441], 1.0, 114, 4, 'Success']"
1755,9714,49,"[[1755, 1369, 9714], 1.00005, 80, 3, 'Success']","[[1755, 1369, 9714], 1.00005, 80, 3, 'Success']","[[1755, 1369, 9714], 1.00005, 80, 3, 'Success']","[[1755, 1369, 9714], 1.00005, 80, 3, 'Success']","[[1755, 1369, 9714], 1.00005, 80, 3, 'Success']","[[1755, 1369, 9714], 1.00005, 80, 3, 'Success']","[[1755, 1369, 9714], 1.00005, 80, 3, 'Success']"
1515,10436,242,"[[1515, 18, 10436], 1.00024, 80, 3, 'Success']","[[1515, 2, 886, 855, 10436], 0.07383999999999999, 138, 5, 'Success']","[[1515, 18, 10436], 1.00024, 80, 3, 'Success']","[[1515, 18, 10436], 1.00024, 80, 3, 'Success']","[[1515, 18, 10436], 1.00024, 80, 3, 'Success']","[[1515, 18, 10436], 1.00024, 80, 3, 'Success']","[[1515, 2, 3781, 609, 19, 215, 137, 12325, 855, 10436], 0.049609999999999994, 320, 10, 'Success']"
8668,2439,7660,"[[8668, 9726, 8057, 1139, 2439], 24.064510000000002, 160, 5, 'Failure']","[[8668, 9726, 8057, 1139, 2439], 24.064510000000002, 160, 5, 'Failure']","[[8668, 9726, 8057, 1139, 2439], 24.064510000000002, 160, 5, 'Failure']","[[8668, 8202, 6232, 1139, 2439], 26.901, 160, 5, 'Success']","[[8668, 9726, 8057, 1139, 2439], 24.064510000000002, 160, 5, 'Failure']","[[8668, 9726, 8057, 1139, 2439], 24.064510000000002, 160, 5, 'Failure']","[[8668, 9726, 314, 11837, 12325, 5965, 3297, 6324, 1139, 2439], 23.498359999999998, 436, 10, 'Success']"
1903,11627,74367,"[[1903, 18, 63, 11627], 26.43513, 120, 4, 'Failure']","[[1903, 18, 63, 11627], 26.43513, 120, 4, 'Failure']","[[1903, 71, 175, 63, 11627], 25.36074, 116, 5, 'Success']","[[1903, 18, 63, 11627], 26.43513, 120, 4, 'Failure']","[[1903, 18, 63, 11627], 26.43513, 120, 4, 'Failure']","[[1903, 18, 63, 11627], 26.43513, 120, 4, 'Failure']","[[1903, 48, 175, 63, 11627], 32.79998, 138, 5, 'Failure']"
9854,3508,119905,"[[9854, 2, 32, 3508], 60.8326, 202, 4, 'Failure']","[[9854, 21, 4972, 32, 3508], 63.072540000000004, 264, 5, 'Failure']","[[9854, 21, 2602, 32, 3508], 61.95357, 242, 5, 'Failure']","[[9854, 21, 4972, 32, 3508], 63.072540000000004, 264, 5, 'Failure']","[[9854, 21, 4972, 32, 3508], 63.072540000000004, 264, 5, 'Failure']","[[9854, 21, 4972, 32, 3508], 63.072540000000004, 264, 5, 'Failure']","[[9854, 21, 1577, 167, 32, 3508], 62.67237, 294, 6, 'Failure']"
10787,11499,3,"[[10787, 886, 91, 11499], 0.504, 280, 4, 'Success']","[[10787, 886, 91, 11499], 0.504, 280, 4, 'Success']","[[10787, 886, 91, 11499], 0.504, 280, 4, 'Success']","[[10787, 886, 32, 11499], 1.0025, 224, 4, 'Success']","[[10787, 886, 91, 11499], 0.504, 280, 4, 'Success']","[[10787, 886, 91, 11499], 0.504, 280, 4, 'Success']","[[10787, 609, 19, 215, 91, 11499], 0.503, 338, 6, 'Success']"
11325,5029,64,"[[11325, 855, 5199, 4998, 5029], 0.22418, 160, 5, 'Success']","[[11325, 855, 11837, 4998, 5029], 0.22418, 160, 5, 'Success']","[[11325, 32, 5029], 1.03194, 184, 3, 'Success']","[[11325, 32, 5029], 1.03194, 184, 3, 'Success']","[[11325, 32, 5029], 1.03194, 184, 3, 'Success']","[[11325, 32, 5029], 1.03194, 184, 3, 'Success']","[[11325, 855, 6876, 167, 4998, 5029], 0.21178, 190, 6, 'Success']"
10006,10520,705,"[[10006, 5949, 18, 8524, 10520], 2.17767, 160, 5, 'Success']","[[10006, 5949, 6667, 18, 8524, 10520], 1.18402, 200, 6, 'Success']","[[10006, 5949, 18, 8524, 10520], 2.17767, 160, 5, 'Success']","[[10006, 10002, 91, 311, 10520], 3.2774199999999993, 310, 5, 'Success']","[[10006, 5949, 18, 8524, 10520], 2.17767, 160, 5, 'Success']","[[10006, 5949, 18, 8524, 10520], 2.17767, 160, 5, 'Success']","[[10006, 5949, 3372, 4792, 167, 6722, 12325, 855, 311, 10520], 1.14614, 354, 10, 'Success']"
453,3980,9934,"[[453, 21, 26, 3980], 4.98354, 114, 4, 'Success']","[[453, 21, 26, 3980], 4.98354, 114, 4, 'Success']","[[453, 21, 26, 3980], 4.98354, 114, 4, 'Success']","[[453, 21, 26, 3980], 4.98354, 114, 4, 'Success']","[[453, 21, 26, 3980], 4.98354, 114, 4, 'Success']","[[453, 21, 26, 3980], 4.98354, 114, 4, 'Success']","[[453, 36, 609, 19, 215, 137, 12325, 26, 3980], 3.9934799999999995, 328, 9, 'Success']"
8535,6672,22037,"[[8535, 167, 9515, 609, 6672], 2.22574, 150, 5, 'Failure']","[[8535, 8493, 855, 6337, 6672], 8.55355, 160, 5, 'Failure']","[[8535, 167, 11578, 609, 6672], 2.24778, 140, 5, 'Failure']","[[8535, 167, 4682, 609, 6672], 2.57837, 144, 5, 'Failure']","[[8535, 167, 2938, 609, 6672], 2.26982, 150, 5, 'Failure']","[[8535, 167, 2938, 609, 6672], 2.26982, 150, 5, 'Failure']","[[8535, 8493, 8611, 167, 5311, 2751, 6337, 6672], 2.1359000000000004, 264, 8, 'Failure']"
674,3860,117435,"[[674, 679, 349, 855, 3860], 27.013959999999997, 160, 5, 'Failure']","[[674, 285, 321, 855, 3860], 34.00123, 160, 5, 'Success']","[[674, 679, 349, 855, 3860], 27.013959999999997, 160, 5, 'Failure']","[[674, 679, 349, 855, 3860], 27.013959999999997, 160, 5, 'Failure']","[[674, 285, 6057, 855, 3860], 30.47744, 160, 5, 'Success']","[[674, 285, 6057, 855, 3860], 30.47744, 160, 5, 'Success']","[[674, 285, 22, 463, 12325, 855, 3860], 26.839380000000002, 234, 7, 'Failure']"
9268,11339,3,"[[9268, 1881, 6725, 855, 11339], 0.0008799999999999999, 540, 5, 'Success']","[[9268, 1881, 6725, 855, 11339], 0.0008799999999999999, 540, 5, 'Success']","[[9268, 1881, 855, 11339], 1.0021, 120, 4, 'Success']","[[9268, 1881, 855, 11339], 1.0021, 120, 4, 'Success']","[[9268, 1881, 855, 11339], 1.0021, 120, 4, 'Success']","[[9268, 1881, 855, 11339], 1.0021, 120, 4, 'Success']","[[9268, 1881, 1559, 12325, 4438, 609, 11339], 0.00042999999999999994, 234, 7, 'Success']"
11046,8121,96,"[[11046, 6621, 10159, 10781, 8121], 0.01008, 160, 5, 'Success']","[[11046, 6621, 10159, 10781, 8121], 0.01008, 160, 5, 'Success']","[[11046, 6621, 10159, 10781, 8121], 0.01008, 160, 5, 'Success']","[[11046, 6621, 10159, 10781, 8121], 0.01008, 160, 5, 'Success']","[[11046, 6621, 10159, 10781, 8121], 0.01008, 160, 5, 'Success']","[[11046, 6621, 10159, 10781, 8121], 0.01008, 160, 5, 'Success']","[[11046, 6621, 7067, 233, 10781, 8121], 0.00019, 194, 6, 'Success']"
10787,7540,206,"[[10787, 3083, 7540], 0.0, 184, 3, 'Success']","[[10787, 3083, 7540], 0.0, 184, 3, 'Success']","[[10787, 3083, 7540], 0.0, 184, 3, 'Success']","[[10787, 3083, 7540], 0.0, 184, 3, 'Success']","[[10787, 3083, 7540], 0.0, 184, 3, 'Success']","[[10787, 3083, 7540], 0.0, 184, 3, 'Success']","[[10787, 609, 2223, 3083, 7540], 0.00021, 264, 5, 'Success']"
